student_id,name,gender,age,height,weight,score_math,score_english,enroll_date,city,phone,income
S1000,陈琪,M,200,,,71,88,09/01/2021,Beijing,13800000000,
S1014,陈琪,F,19,,70,57,85,2021/09/01,BJ,13800000000,6000
S1053,,F,16,170,70,75,58,09/01/2021,Shanghai,,"￥5,000"
S1012, 赵元 ,M,-5,1.75,70,85,91,2021/09/01,Beijing,138-0000-0000,6000
S1042,王慧,女,18,1.75,50,91,89,2021/09/01,beijing,,6000
S1084,王慧,M,18,1.6,,98,47,09/01/2021,Beijing,,
S1075,王慧,女,24,1.6,70,48,66,2021/09/01,Beijing,138-0000-0000,6000
S1068,,M,17,170,70,65,89,2021/09/01,BJ,138-0000-0000,"￥5,000"
S1006,,,20,,,61,86,2021/09/01,BJ,,"￥5,000"
S1068,王慧,,17,180,70,85,69,,BJ,13800000000,6000
S1047,陈琪,M,18,180,70,77,43,2021/09/01,BJ,,
S1003,陈琪,F,20,170,50,62,50,09/01/2021,Beijing,13800000000,6000
S1076,王慧,女,200,1.75,60,56,60,2021/09/01,beijing,13800000000,"￥5,000"
S1052,王慧,,-5,1.6,50,65,82,2021/09/01,Shanghai,,"￥5,000"
S1078,,女,22,,,86,41,2021/09/01,beijing,138-0000-0000,6000
S1015,王慧,男,,1.75,70,95,95,,beijing,,"￥5,000"
S1020, 赵元 ,F,,,50,77,60,2021/09/01,BJ,,6000
S1058,陈琪,F,17,,50,41,56,2021-09-01,Beijing,13800000000,"￥5,000"
S1023,王慧,男,22,170,70,45,82,09/01/2021,Beijing,,
S1079,王慧,F,16,1.6,,46,90,09/01/2021,Beijing,138-0000-0000,"￥5,000"
S1013,,,21,1.6,60,52,68,,Shanghai,,6000
S1085, 赵元 ,男,200,180,,66,66,2021-09-01,beijing,,6000
S1048,,,20,1.75,70,50,63,09/01/2021,Shanghai,13800000000,
S1049,王慧,,15,1.75,70,99,92,2021-09-01,Shanghai,138-0000-0000,"￥5,000"
S1069,陈琪,男,-5,1.6,60,94,88,09/01/2021,beijing,138-0000-0000,6000
S1041, 赵元 ,女,15,,60,54,42,,Shanghai,13800000000,"￥5,000"
S1035, 赵元 ,女,200,180,70,48,78,09/01/2021,BJ,138-0000-0000,
